"","x"
"682","My parents especially my father is all set to watch Bahubali s pa 2 Hes completely mesmerised"
"683","Watched Bahubali movie its jabardast film Superbwatching Baahubali at QFXCinemasQFX Civil MallKathmandu"
"684","Bahubali took 8 years to completeAkshay Kumar could have released at least 96 movies during this timeAkshay1 Bahubali0"
"685","did u just call Tamanna old enuf to be ur daughter gorgeous Heya sexist for u to chew on  Bahubali"
"686","You Guys are warlords of modern india Sucking our blood Bahubali"
"687","but u r frm 25 yrs directg many biggies like amithab amir srk suryanag etc bt u cant even acheive 10of bahubali feel shame"
"688","Thankyou tweeples for recommending me Bahubali"
"689","they are not tribals your learned idiotic greatness  They are barbarians like Ghenghis Khan for example Bahubali"
"690","I watched Bahubali today wonderful move Can say you are an idiot"
"691","They did not poray tribals tribals r those who raised son Prabhas Kalakeyas were barbarians Bahubali "
"692","Failing to find anything wohwhile to criticise some acting as if rape has never been porayed in films before Bahubali"
"693","Deerbalibahubali crazemoviefloodrainchandigarh"
"694","3 Bahubali could not book the Tatkal Ticket fro Kattapaa4 Bahubali saw Kattappa masturbatingoksorry"
"695","Done watching Bahubali for the 2nd tym My Whole family enjoyed it especially d kutties were crazy Jai tammana pathi"
"696","The reaction against Bahubaliis the underworld film financing mafia angry and hiring secular hit menwomen"
"697","why kattappa killed Bahubali1 Bahubali was involved in vyapam case2 Bahubali gave 2 eclairs to kattappa instead of 2 Rs change"
"698","Seems some havent ever seen a rape scene in Indian movies before Bahubali"
"699","My money should definitely go to makers of Bahubali movie and I purchased this music from iTunes store"
"700","Watched Bahubali second timeMovie is awesomewill watch it again"
"701","Hats off to yousirSurely Bahubali is an Epic in Indian cinema"
"702","This conve mongerhates Bahubali for obvious reasons"
"703","Sir congrats on Bahubaliacting"
"704","So Bahubali porays Hindu pride of our ancient culture Expect hit jobs on the film from intellectualsalready staed"
"705","TRIBALS RAISED BAHUBALI BUT ACC TO WEELER DEALER OF INDIAN PRESSTITUTESTHINKS SAVAGERS AS TRIBALBaahubali"
"706","While some jealous souls try to find something wrong with it Bahubali laughs all the way to the bank"
"707","Bahubali reinventing Indian cinemag8 job done"
"708","Which One ur Favorite Movie in 20151 BajrangiBhaijaan2 Bahubali"
"709","Why you give wrong opinion for the sake of publicity All people irrespective of religion are appreciating bahubali"
"710","Bahubali Show"
"711","Bahubali Finaly watched for SSRajamouliEverys scenes make goosepumps Proud of indian cinema"
"712","Sir Congrats onBahubaliaction"
"713","jithinks that Bahubali is produced by BJP"
"714","BataoIf I go byI must not watch Bahubali If I go byI must not watch BajrangiBhaijanHalwa samjha kya chu"
"715","Prabhas can speak in tamil Bahubali"
"716","Getting board about reading great news about bahubalidid we discuss about hobbits gladiator etc liek this BahubaliBahubalistorm"
"717","If you go and see bahubali with a prejudged prejudiced mind then all you can see is this"
"718","This time on GaneshotsavRGV vill comment on Lord ShivaPromotionBahubali EffectClueBlue"
"719","Bahubali rocks I loved Kattapas intese character Except minor glitches flawless execution mostly unseen in Bollywood QualityCinema"
"720","Bahubali Have yo seen Wheeler Dealer Couptas tweet abt the movie"
"721","She is back  Bahubali neelambari shivagami"
"722","its waste of money and time watching BajrangiBhaijaanWhere Bahubali is running best in theatres"
"723","Underdogspeaksgameofthrones made love to karanarjun and named their baby bahubali k"
"724","more publicity for the movieBahubali"
"725","Watched Bahubalia spectacle of epic propoions firmly rooted in India and Hindu cultureThis is d future of Indian CinemaBahubalistorm"
"726","Indian film fans check out BahubaliShowing in Tamil amp Telugu amp opening in Hindi on 724 For times amp tix visit"
"727","Bahubali1 Review by International Media2 ReView by Indian Presstitutes 3 Present Condition of"
"728","Bahubali is quite impressive for the scale amp effectsif only it was a bit less bollywoodisheg warrior"
"729","If libtards are against Bahubali then its a MUST WATCH on my listYesssss"
"730","This is actually real face of Presstitutes sucking our blood in India Shame Did he anything on PK Bahubali"
"731","And that film must be produced byHe is too enthusiastic on making a big hit than Bahubali"
"732","Wait for Raees movieIt has all the secular credentials Bahubali is not for AdarshLiberals"
"733","Thr is no especial Island for Chutiyatic people they all are among us like u r one f thmGet a life Bahubali"
"734","Rating high for Bahubali"
"735","gameofthrones made love to karanarjun and named their baby bahubali"
"736","Bahubali movie ka waterfall"
"737","OMGdidnt like Bahubali Enough is enough Its right time Modi has to resign"
"738","Tribute to Bahubali "
"739","But still we are falling sho of full outrage valueno one has asked for modi to resign or speak against Bahubali or have I missed it"
"740","Modi doesnt have 56 chest like Bahubali Modi must resign"
"741","Bahubali is a complete package All tht the real audience hs been seeking for days Storymagnificenteverything in full A must must watch"
"742","lets show the enemies are from Pluto Bahubali"
"743","When Aadarsh Liberalism transcends political sphere and plagues other walks of life Bahubali"
"744","bro just go amp watch it worst movies wont break recordsBahubali continues it Strom even after Bahi arrives"
"745","Obvious Bahubali is best than BajrangiBhaijaan NoWayForCriminals"
"746","repoedly mentions in his biography that he waited for one or the other Khan to appear in Bahubali "
"747","sir our Rajinikanth amp KamalHaasan willshatter all recordsMark our wordsHappy 4 bahubali too"
"748","They cheer PK OMG Parzania amp attack Bahubali Vishwaroop BajrangiThese AdarshLiberals are so predictable LOL"
"749","Bahubali seen twice n teluguLookng fwd hindi tamil Among allis my fav with his menacing look n vicious smile loved it"
"750","Since when every critique of a movie is viewed with polemic stand of Hinduhating vs Hinduglory Bahubali puzzled"
"751","Shaker Gupta was given free pass to watch Bahubali ended up watching rotting black teeth of the tribalsDisappointed to find no Khans"
"752","Gaytri plex RatlamSUNBB203942100 occupancy Bahubali34024100 occ ALL SHOWS MORNING TO NIGHT HOUSEFULLRECORD CREATED"
"753","TRIBALS WERE THOSE WHO RAISED Bahubali AND WORSHIP LORD SHIVAI GUESS U KNOW VERY LITTLE ABOUGHT HINDUISMUMORON"
"754","bahubali critics are unhappy its not a secular film"
"755","watched BahubaliAWESOME will watch again"
"756","bahubali what a moviewords arent sufficient to describe this larger than life fictional opera I am awestruck"
"757","without any biases Bahubali is ceainly a great film Will buy DVD of the movie too"
"758","Bahubali is to Indian cinema what Bhagat Singh was to India Revolutionary"
"759","I ws not planning to watch Bahubali but since all Adarsh liberals are outraging this much going to watch with whole family this weekend"
"760","Question in Forbes magazine Why cant China make a movie like Bahubali"
"761","Interval bahubali"
"762","you saw only that character in the film Bahubali"
"763","Time to see what the hullabaloo is also about BahubaliPVR Cinemas in Gurgaon Haryana"
"764","When Aadarsh Liberalism transcends political sphere and plagues other walks of life Bahubali"
"765","Bahubali is a fascist Sanghi movie Right U would be waiting for Raees to build up Secular Credential of India"
"766","Watched Bahubali today Inspite of most screens and shows in PVR alloted to Bajrangi bhaijaan former was houseful"
"767","nothing annoys AdarshLiberals likemore than the reemergence of historical fictions like Bahubali and ShivaTrilogy"
"768","Just noticed writer of BajrangiBhaijaan amp Bahubali is the same personthe great Mr Vijayendra Prasad Yeh toh hadd ho gayi talent ki"
"769","Sir congratulation for your fantastic picture Bahubali Waiting for conclusionComplete on early 2016"
"770","Watched bahubalioutstanding is the only wordwhat a beautiful film PrabasRana acting suberb"
"771","Overnight Film Critics r surfacig over Bahubali s spectacular sucess Good atleast thet r learning"
"772","housefull sunday for Bahubali in ludhianapunjab Amazing An epic Feast for eyes"
"773","Watched bahubali waiting for the second pafeeling awesome"
"774","Bahubali s like Maha PushkaraluSuch cinematic exp is ones in life time A historic event in Telugu cinema"
"775","Idhi frst tym record to hear 300crs in 9 daysfor prabhas bahubali mve thank u rajamouli sir n inka prabhas lekapothe there is no film"
"776","bahubali has become a cocktail vth both religious nd social angles"
"777","Public please Dont waste your TimeAndMoney on BajrangiBhaijaan Please watch Bahubalieffos"
"778","AdarshLiberalsrattled by success of BahubaliJust the beginning Standards now set crap wont sell anymore"
"779","The way adarshLiberals are losing their sleep over Bahubali is hilarious unable to make their opinions guide revenue or votes tch tch"
"780","Still marveling at Bahubali after watching it on Saturday Hats off to Rajamouli"
"781","Ready for some blockbuster treatsDelhiDarbar DelhiDarbarRestaurant Bahubali"
"782","Bahubali into 300 crs club easily will reach 500 crs Nvr xpectd Telugu movi to do soPrabhas proud"
"783","Tribals were the people among whom Bahubali Grew up"
"784","a Kannada Movie RangiTarangahas 95 on Imdb More than BahubaliEPic "
"785","watching Bahubali"
"786","You know how to be in news when whole India is appreciating the Bahubali and to be in news you shud condem it Wah"
"787","You are fantastic in Bahubali"
"788","Bahubali and several other films show why south movies are far far better than those involving the khans and kapoorsReal professionalism"
"789","Bahubali is a visual treat for the eyes Every element of the movie is next to perfect Go watch it guys"
"790","n no sonis namasksr in it Bahubali Bahubalistorm"
"791","Whatta boring movie till now bahubali"
"792","Salute Bahubali amp its producers to hv guts really enjoyed Gr8 film on Shiva Shakti Went to see movie in 10 yrs"
"793","I tried to download Bahubali songs And every song is in Telgu language instead of Hindi Its not bad to hear"
"794","Why arent we outraged by the rape of Avanthika in Bahubaliin"
"795","Presstitues will have a field day if our PM congratulatesBahubali Rajamouli when multi records are broken in the near future"
"796","coz movie name was bahubali not behramkhan"
"797","Dynasty chamchahas been instructed to do hit job byon Hinduism Firstamp now Bahubali"
"798","You are a IdiotDont Bring ur Cheap Politics to a Epic Movie that would go down as a Milestone in IndianFilmHistory Bahubali"
"799","bluntly speaking 1st time ur talent got recognized U wer amazingly mesmerizing Waiting for more in 2nd pa Bahubali"
"800","AdarshLiberals aint being able to digest the tremendous success of BahubaliNot their routine diet of secular shit you see"
"801","bahubali spectacular film Truly directors film Thankfully VFX didnt dominate but elevated storytelling A visual treat Must watch"
"802","I am waiting for 2nd pa of the bahubali"
"803","Really amazing movie Bahubaliit is a proof that Indian cenema is improvingCongratulations to bahubali and team"
"804","Bahubali hope pa 2 lives up to the expectations I dont want the director to Change original script just to please ppl expectations"
"805","Why was the actor lifting a Shivalinga why didnt the director ask him to lift a Quran or bible BahuBali"
"806","When SM unanimously cheer Bahubali Libtards inevitably have to attack or mock it As always they are so predictable lol Bahubalistorm"
"807","Awesome threesomes Friday BajrangiBhaijaanSaturday BahubaliSunday Boisar Mondayblues"
"808","I Love The Movie Bahubali"
"809","Bahubali the strength of the movie was giving equal impoance to all the roles Not too much hero worship"
"810","Ryan Bahubalis tickets were almost thrice the price so in that respect the 300 figure isnt comparable to regular films"
"811","For Telugu movie lovers like me wait for Bahubali 2 would be tougher than Bahubali 1"
"812","After the super duper awesome BajrangiBhaijaan last night its finally time for Bahubali now thats a great weekend at the movies "
"813","Bahubali an epic not to be missed Take a bowa cinematic experience that one will cherish for their lifetime"
"814","Want to watch Bahubali so much just getting crazy about it after reading all d amazing reviews cant waitttttt"
"815","Dear Not only dailogue writer of Baahubali amp Bajrangi Bhaijan is same He is actually the FATHER of Bahubali director"
"816","i said to my friends that you r my twitter friend amp we are clapping amp whistled when ur name shown in Bahubali title card"
"817","Superb weekendBahubaliSiwaiyaGabbarAluparatheBarishHomeAisa superb weekend har hafte aaye to maza hi aa jayeD P"
"818","Full Nation is clapping for Baahubali but this retard still with CPI mindsetBahubali"
"819","Repoedly Bahubali has collected 300Cr Yes you heard itall that in a week And going by the full houses 500Cr are no far"
"820","But that 1 scene of non consensual but ohsoacceptable sexual abuse that were accustomed to seeing in Indian films spolit Bahubali"
"821","I think the instructions were issued from high commandabout Bahubali Libtard reviews have staed appearing all of a sudden"
"822","Wow I see 10s of Qs on serious quizzing groups on bahubali"
"823","may b if the hero had carried a cross on his shoulders this prestitute would have praised Bahubali"
"824","peddling dick whitening cream is Kosher but Ya Allah check out how enemy is porayed in Bahubali"
"825","What we can expect from Wheelerdealers Understand your frustration dont worry already Bahubali crossed 300 cr"
"826","if u dnt like gendaa type heroes we hv better option for u suwar ko hi lelo tumhe to bahut pasand hoga bahubali"
"827","I am so glad I chose to watch RangiTaranga over Bahubali this weekend Amazing cast songs story and direction"
"828","Bahubali was good stuff some of it was terrific Left on a superb cliffhanger tooStill not happy with its extoionate price tho"
"829","i pitypresstitutes who cares for publicity bahubali"
"830","big disappointment not able to see such marvellous and great movie Bahubali"
"831","Just watched Bahubali 2 words xxxxxxx awesome havent seen anything like this before from Indian cinema That sums up allGo n watch"
"832","Are they tribals Savages Symbolic evilraakshas Anyway its a fiction n theres disclaimer Bahubali"
"833","whn can v expect pa 2 of ramchandra series Also any thought of movie on Shiva triology It will b greater than Bahubali"
"834","Well thank you on your PresstituteAnalysis Coming from you it meansabsolutely nothing Bahubali"
"835","Tribals in Bahubali should have been shown as clones of ShekharGuptathat would have been truthful horror"
"836","Bahubali sayingnow no need to invest on big stars"
"837","it was 3 yrs since o had watched a movie Watched Bahubali bcz of leftis attack Its a good movie though"
"838","Most awful porayal of India is whengoes abroad and introduces himself as an Indian Journalist Bahubali"
"839","Soall the so called intelligentsia who hav misled th country r now talking BS about BahubaliGd none believes them"
"840","If any one wants free publicity get a photo with Indian star put in twitterampabuse every good movieBahubali"
"841","Question of the Century Why Kattapa Killed Bahubali BahubalistormBahubali"
"842","Bahubali awesome movie"
"843","read this Bahubali"
"844","Memories of Bahubali wiped out by Anya Basanta Thank God"
"845","Do you know The story writer of Bahubali and Bajrangi Bhaijaan is Same personhis name is Vijayendra PrasadBajrangiBhaijaan Bahubali"
"846","Bahubali must say a over hyped movie in the entire history of cinemaSeriously Rajamouli is the Baap of all directors"
"847","annavetticad slow sunday bahubali review followed by similar diatribe frm CouptaIdeaofIndia crowdseems b coordinatin D"
"848","4 time Bahubali Good Job Prabhas"
"849","Bollywood legends praising Bahubali movie Goose Goosebumps"
"850","just watched bahubali and they could have done something better"
"851","I think this tweet is a trap to make an argument that there is no link between Hinduism and the movie Bahubali"
"852","bahubali House fullbanjrangibhaijaanhousefullminions not available Damn "
"853","In between Mega Bahubali amp BajrangiBhaijaana Kannada movie rangitaranga is making waves across KarnatakaMysteryThriller"
"854","How can you call Bahubali a Hindu MovieRemember Aslam who came to Kattappa for selling swords Its a secular movie"
"855","despite his stardom he failed at content of movie thts why Bahubali is better Watch it"
"856","quality film from any language needs to be welcomedhas taken indian cinema to next level ppl shud feel proud of Bahubali"
"857","Finished watching Bahubali What an amazing movie Loved the larger than life experience Can watch it again "
"858","Bahubali is just fiction Rape and tribal profiling all are liberal figments out of Sunday alcohol after effect Its just movie Period"
"859","Seculars would fit the description of Kalakeyas for that time period but director SSR seems to have taken the safer route Bahubali"
"860","Already Bahubali is huge success and the more prestitutes likecriticise it the more it will reach to masses"
"861","review of Bahubali He did not see the porayal of hinduism in bad taste in PK"
"862","in front of Bahubali BajrangiBhaijaan is just like as potty in front of paneer butter masala lol JaiShivShambhu"
"863","Bahubali enters INR 300 Cr ClubSalute Desperately waiting for next pa of epic"
"864","Presstitute cum AdarshLiberals unsolicited review of Bahubali who love to run down anything that is even"
"865","must watch movie is bahubali superb"
"866","It will for sure I am planning when to go again Bahubali"
"867","Guptaji Bahubali the movie does not need a controversy for box office collection Its a monstrous hit already"
"868","Jjust enjoy the heaburn of liberals over Bahubali seems to have irked them more than Modiburnol is out of stock"
"869","in front of Bahubali BajrangiBhaijaan is just like as potty in front of paneer butter masala lol JaiShivShambhu"
"870","I dont why many reputed personality behaving like moron to react Bahubali unable to accept n digest the success of Bahubali"
"871","Shekhu u r so predictableWho told u to watch an epic like Bahubaliu shud stick 2 movies like PKBahubali is 4 proud Hindus"
"872","See comments of a true prestitute not able to digest success of Bahubali"
"873","what abt bhujbal I have no intrest abt Bahubaliamp bajrangi bhaijaan"
"874","Not able to digest the successful communalBahubaliTrue prestituteanything for publicity"
"875","Feel that Bahubali must be made into chinese and korean and Russian and other languages and spread to the worldExcellent movie"
"876","BahubaliHats off to Rajamouli amp team for the giant leap It was thoroughly enteaining like his earlier"
"877","Dispite noticing many other good things in Bahubali U got all what U actually deserve Happy to know U have shame"
"878","Bahubali is Telugu cinemas masterpieceappreciatesincere efos amp dont lampoon it bcos no one cares wat u say"
"879","the Tribals were shown during the erection of statue while Islamic culture was shown thru the invaders Bahubali"
"880","Bahubali So many scenes seem inspired from other movies MI 2 Mummy Returns Lord of the Rings James Bondlosing count of the Dena Vus"
"881","Free movie tickets with all orders above Rs1000 only atBahubali shoppershour"
"882","bc Bahubalihas 4 vrsionsBajrangiBhaijaanhas only version no one can be compared to superstar SalmanKhan"
"883","Watching Bahubali at killona jhansi"
"884","Bahubali is magicfantasy high on technical finneseSimple story line like those in chandamamaReally loved the splendour of it all"
"885","in front of Bahubali BajrangiBhaijaan is just like as potty in front of paneer butter masala lol JaiShivShambhu"
"886","Watched Bahubali after a long wait You proved the world that epic movies can be made in India too"
"887","How a larger den life movie Bahubali has broken all the linguistic barrier and now itsdominating the worlds stagenice 2India"
"888","So many coordinated attacks against Bahubali today Bollywood feeling jittery already"
"889","There was nothing extraordinary about Magadheera but everything was extraordinary about Bahubali Watched it 4 times already "
"890","Such proud feeling as an Indian watching a movie like Bahubali setting the bar so hightake a bow"
"891","Presstituteis against the film Bahubali"
"892","Watched both Magadheera amp Bahubali but I would say Bahubali iss best work to date The characters made justice D"
"893","Lol bahubali effect"
"894","Dheevara on earpods is purely magic Keeravani is one cheeky magician Bahubali"
"895","How true I hope the men out there get to read this Bahubali"
"896","So much saffron in Bahubali No wonder libtards r getting all the hibijibis"
"897","Had recently read an aicle where author lamented we dont have a GOT of our own After bahubali I can hope"
"898","bahubali Rana is playing a role of father"
"899","That was one hell of a movie BahubaliTake that Hollywood"
"900","Now I want to watch Bahubali"
"901","Hero Ko To Pravash Jayse bahubali Jaysi Film Banane Chahie Controversi me To No 1 Salman Khan When it comes"
"902","Most awful film porayal of tribals in Bahubali Dark scarfaced ugly rapist brutes with rotting black teeth Shameful profiling"
"903","At lastt Watching the Big Movie of Indian Cinema now Bahubaliwatching Baahubali"
"904","BhajrangiBhaijaan gt Bahubali manamgtgtgtgtgtBahubali content wise"
"905","Finally watching Bahubali it is grand and the guy looks hot The dubbing is a little sad"
"906","Bahubali raising Standards of Indian Cinema"
"907","as right wing is praising Bahubalihas to talk rubbish to show her handlers that she is doing her job"
"908","I wishwud makes Shiva trilogy I think he would do justice to the storyBahubali"
"909","BajrangiBhaijaan team to religious extremist who think Bahubali got audience bcoz of Great Indian Hindu culture"
"910","Bahubali was Faankubali 1st was pathetic completely senseless and illogical fiction Only fight sequence in 2nd half was good"
"911","Watching Bahubali Housefull show"
"912","Bahubali Prabhason thing After movieAhh"
"913","Bahubali an Incredible Indian historic movie with spectacular visuals and bgmwaiting for its conclusion"
"914","as usual India disagrees with Presstitutes votes rates on its own Bahubali"
"915","Bahubali U guys rocked Such a magnum opus with a very good direction"
"916","Watching Bahubali 20 occupancy"
"917","BahubaliDidnt like the message that a woman can be disrobed without her consent N she would give up her mission so easily"
"918","Just TERRFICBahubali Bahubalistorm One of the Best Motion Pictures in India"
"919","Dear Bahubali fans ignore the opinion of this IKnowitall JerkHe is not funny witty or quality"
"920","bahubali friends Minnesota minneapolisthrowback sidhusaladiCarmike 15 Apple Valley"
"921","Secular Gang were hoping some PK Type Hindu Bashing in BajrangiBhaijaanDidnt Got So suddenly coming out with BahubaliReview"
"922","Bahubalis finishfelt like the director literally shouted Ek ticket me itna hi milega Get out"
"923","Bahubali 10 Days Collections"
"924","Bahubali 10 Days Collections"
"925","Sir Indeed Bahubali is a piece of aRequest u to pls watch BajrangiBhaijaan beautiful film wid a msgPolitically relevnt"
"926","There is no comparison between BajrangiBhaijaan nd BahubaliBoth are super movie "
"927","Bahubali in Superstar style"
"928","AhAt lastWas waiting for his Seculiberal OpinionBahubali"
"929","Whats with all AdarshLiberal got against Bahubali beats me"
"930","Excellent movie and Excellent actingdagubatti Bahubali"
"931","just watched Bahubaliit is jst awesome guys and a must watch"
"932","Bahubali could have biggest motion picture But bhajrangibhaijan is more than that it has moralityMorality"
"933","agree with ua movie like Bahubali did not need thosewonder why makers still r not confident abt their product"
"934","Some people are thinking Bahubali got audience because of Indian culture shown in movieMeGrow up guys"
"935","Bajrangi Bhaijaan and team requesting audiences to see his movies instead of Bahubali MasterpieceBajrangiBhaijaan "
"936","I found in BajrangiBhaijaan what I missed in Bahubali Content that moved me broke me into tears and took me into their world emotionally"
"937","Wanted to whistle and clap while I was watching Bahubali but alas PVR Juhu is too sophisticated for that"
"938","14 7 different theaters six cab rides Couldnt find a single ticket for BajarangiBhaijaan amp bahubaliafter giving up a guy came"
"939","Power of Bahubali BahubalistormMasterpieceBajrangiBhaijaan"
"940","HahaI told u so Bahubali effect takes time to wear off"
"941","Im in Love wid dis Dheevara Song Frm Bahubali Tammnah reminds me Sridevi in JVAS Myb cos of it was BB producer Film"
"942","bajrangi bhaijan is Nice but Bahubali is bestfun cinema"
"943","This made me laugh more than all the whatsapp jokes put together Bahubali"
"944","Anytime BahubaliMust watch"
"945","On a movie spree bahubali ekpahelileela GabbarIsBack now next is ILOVENY hubby grumpy me jumpy hahahaha"
"946","Bahubali is a fascist Sanghi movie India will have to wait for Raees based on the life of a gangster to regain its secular credentials"
"947","strong night shows both BajrangiBhaijaan n bahubali"
"948","Watched Bahubali The greatest milestone in Indian cinemais arguably the current best Indian director Simply EPIC"
"949","Bahubali is the best action movie ever made in India awesome a work visual effects and superb direction to complement all this"
"950","Amazing movie Bahubaliamazing Story telling First 30 mins a bit stretched but kudos to the effo Respect"
"951","please relese bahubali jukebox in hindiEspecially Shivuniaana"
"952","First ever Indian movie to release in Latin America Loved the movie Bahubali TCS"
"953","Bahubali Because Salmans acting in BajrangiBhaijaan is unreal"
"954","In just 10 days Bahubali became the 7th highest worldwide coll Indian movie "
"955","Bahubali 9 days collectionROCK Box office 303 billion US48 million9 days Bahubali Bahubalistorm Bahubali Bahubalistorm"
"956","Now this is Amazing Fact The story writer of Bahubali amp BajrangiBhaijaan is the same person VijayendraPrasad amp his son is ssrajamouli"
"957","read somwhr that Bahubali nd Jurrasicworld share the same vfx teamu pay peanutsu get peanuts consider conversion rate here"
"958","When the whole world at least YOUR world has seen a moviebut u r jus waiting for tickets amp time But to watch it in theaters Bahubali"
"959","Bahubali is an awesome movie If you have not seen this yet you must"
"960","Suddenly from nowhere a movie comes and force you to give this reaction Bahubali made India proud I am still"
"961","Employees from TCS released an Indian movie first time in Uruguay South AmericaBahubali"
"962","BahubaliGrand worldclass visual treat rides ageold story line Hope springs that Ramayan amp Mahabharat wud get world audience some day"
"963","Bahubali is marketing gone right Pomp"
"964","Bahubali is a visual delight Landmark for Indian cinema Must Watch"
"965","Of course the director didnt have enough money left for a music director Some trivial cliches apa the grandness was woh it bahubali"
"966","The pride of Indian cinema Bahubalissrajamouli hats off to uwaiting for 2nd pa desperatelywishng a lot of success to whole Team"
"967","Bahubali Feel the mystery by sir"
"968","great acting by u sir in Bahubali"
"969","Insanely good to talk abt military strategy and I would gladly ignore over the top heroism We want to feel the rush of adrenaline Bahubali"
"970","After Bahubali CrazeHere comes D reply from Bollywood BajiraoMastani EpicBajiraoMastaniTeaser "
"971","you are great sirin Bahubali ur performance just faadu awesome body n style"
"972","All d Best Bahubali BajrangiBhaijaanThnks4savin hindu sentis you deserves this "
"973","Watched Bahubali Amazing Every bit as spectacular as Troy or 300 And WITHOUT A BOOK"
"974","I am not a movie buff and watch it only when forced by friends or family but I would definitely going to watch Bahubali ASAP"
"975","Yeah if u compare it to bahubali then it will be but if u compare to other ones its going to be a king "
"976","Kudos to vijayendra prasad for both Bahubaliand BajrangiBhaijaanssrajamouli"
"977","Was it her Blog or did u actually see Bahubalidont let yr intellect be dictated by some biased Journo"
"978","Wat an EPIC historical movie Bahubali isMind Blowing Performances ampvisual effects Many congrates to whole team ampespecially ssrajamouli"
"979","Bahubali or BajrangiBhaijaan Which One Is Better Need ExpeAdvicefeeling confused"
"980","Bahubali is a communal conspiracy to conve secular Indian into Hindu rashtra"
"981","Too Late Siryr Opinion Cant Cause a Coup Of BB amp Bahubali"
"982","Zaid Hamid carrying Shivling after conveing into hinduism Bahubali"
"983","why showing clips from lord of the rings while promoting Bahubali"
"984","Rajamouli says all his films r inspired by Mahabharat so it becomes the moral responsibility of Xtiansliberals to demonize Bahubali"
"985","BajrangiBhaijaan is an masterpiece Bahubali is a good movie not as spacial as MasterpieceBajrangiBhaijaan"
"986","Mny ppl those who hv seen BajrangiBhaijaan ystrday or Friday are now going fr Bahubali it feels great when CINEMA WINS"
"987","Watched Bahubali twicebecoz ly for DolbyAtmos Amazing Main screen sema effects Stunned"
"988","Bahubali Eve nd Nyt is HOUSEFULL at almst all places in India Loving itWay to go"
"989","Bahubali is a period film That is why it showed its magic in 5 days"
"990","Coincidence Indias biggest film amp Indias biggest stars best film with same initials BB With same story writer BajrangiBhaijaan BahuBali"
"991","Congress minions realize subtext of bad governance in Bahubali applies to them Hence counter attack DIEnasty"
"992","Cant wait to watch Bahubali94 on"
"993","Bahubali is not just a movie it is experience So no comparison with any movie"
"994","Addiction isnt alwys bad bt worstLet it bliquor or flickerbabe or fbcigar or twitterBt diction is goodRajamouli amp bahubali"
"995","My family watched Bahubali becz of Great Indian Culture in Best Computer Graphics Feel Proud on the movie"
"996","All these were the Baap of Bahubali in their own eras"
"997","BTown must thank to South India Which has become TREND to lift if it is MusicScript or Whole FilmMasterpieceBajrangiBhaijaan Bahubali"
"998","After tremendous success of Raja Modis RahuBali in 2014Rajamouli made an epic BahubaliOne is black buster other block buster"
"999","Rape of Avanthika bahubali "
"1000","Bahubali Is Hindi Dubbed Version woh wayching"
"1001","BajrangiBhaijaan ki 2 ticket denaHousefull hai sirAur koi film haiBahubali Woh hi dedoOne films lossother films gain"
"1002","The cause of Hatred to Bahubali"
"1003","Really cant wait for BahubaliThe conclusion 2016Aaj toh mazaa hi aa gaya boss"
"1004","Bahubali team thank media amp friends for the successRead Baahubali Review and Your Comments"
"1005","as a Indian we must watch BahubaliI watched 4 times love to be an Indian"
"1006","Sorry film critics but Bahubali is Tarzan meets Tintin in Chandamama Toyland meets gorgeous Tamannah Tamannah were not complain about"
"1007","Watching Bahubali insted of Bajrangibhaijaan almost 1hrs left but still not to b goodwht u say mr"
"1008","but if u can review a pakistani picture then why dnt u even watch the pride of our country Bahubali u should watch it bhai"
"1009","300 crores Now thats something new and unbelievable from Telugu cinema Bahubali"
"1010","Bahubali took 8 years to completeAkshay Kumar could have released at least 96 movies during this timeAkshay1 Bahubali0"
"1011","Let me clear it again I have not watched Bahubali neither I have reviewed the film nor I did any official prediction so now stop the crap"
"1012","Bahubali Pa2 is coming soon"
"1013","Just watched or rather as they say experienced BahubaliIts truly EPIC Watch it on the big screenyou cant afford to miss it"
"1014","take a bow mam ramyakrishnan hats off You have beautiful eyes with temptation and roaring voice bahubali"
"1015","expecte to the 2nd pa of bahubali too waiting 2016"
"1016","bahubali its just beginning too awesome wrk urs sir movie is next stage to the indians movie"
"1017","Bahubali is the film whichHollywood inscure of Indiansand its not exaggerated"
"1018","After watching Bahubalii can say that now there are 2 kind of people that those who have watched Bahubaliand those who have not P"
"1019","VyaktiVisheshBahubali Vs BBThisEid Watch gtgt"
"1020","Being a kattar noh indian i am not feeling shy thatBahubali is my 1st choice and i staed loving Tollywood der dedication is supreme"
"1021","I was also uncomfoable while watching the Manohari song in the second half of Bahubali"
"1022","Bahubalisuperb moviemust watch"
"1023","Movies like Bahubali is a very intense hard work and can be scene on 70 mm screen i am amazed why it hasnt earned 100 cr on day 1 itself"
"1024","VyaktiVisheshBahubali Vs BBThisEid Watch gtgt"
"1025","Bahubali ne di logic ki bali The movie definitely defied logic at many places"
"1026","Only Congress suppoers likethink that a film like Bahubali isnt g"
"1027","this scene of Bahubali Bahubalistorm is epic and the background score gives goosebumps"
"1028","Bahubali the movie made Hindus happy"
"1029","Please dont compare Bahubali with BajrangiBhaijaanhad bring the cinema to that of Hollywood level can understand emotions"
"1030","romanticisation of sexual violence in BahubaliHmmm the F word I hv for you "
"1031","Bahubali running Housefully Storm rokzzz 300 cr club is Closer"
"1032","New poster Bahubali Pa2"
